Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Ettson Ayon,Queretaro,FW,,MEX,22.0,11.4,0.35,0.09,0.33,0.02,12.5,2.36,0.26,32.0,65.8,74.1,66.7,62.5,32.4,0.53,0.14,0.67,0.13,0.35,0.44,4.82,1.32,0.09,0.09,0.0,2.28,9.12,145.0,33.6,0.44,0.07,0.18,0.18,1.23,27.54,3.25,18.86,45.26
Facundo Batista,Queretaro,FW,,URU,24.0,12.5,0.16,0.16,0.21,0.09,25.0,1.59,0.16,31.3,67.3,72.6,88.9,64.3,33.3,0.72,0.11,0.22,0.15,0.3,0.32,2.64,1.04,0.0,0.08,0.4,2.64,8.88,135.52,34.8,0.8,0.06,0.08,0.08,0.24,22.48,0.96,10.8,22.72
Federico Lértora,Queretaro,MF,,ARG,33.0,31.0,0.1,0.03,0.09,0.06,37.0,1.9,0.1,58.9,67.6,76.9,76.2,48.6,36.2,0.35,0.07,0.27,0.07,0.15,0.13,1.94,4.06,0.03,1.03,1.19,5.1,24.87,477.06,179.16,0.74,-0.03,0.1,0.42,0.61,49.84,1.52,21.19,53.42
Fernando Tapia,Queretaro,GK,,MEX,22.0,14.2,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,47.6,100.0,98.3,34.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.41,13.17,517.39,446.97,0.14,0.0,0.0,0.0,0.0,30.49,0.07,14.51,59.08
Francisco Eduardo Venegas,Queretaro,DF,,MEX,25.0,10.3,0.0,0.0,0.02,0.02,63.6,1.75,0.1,50.0,69.6,83.8,77.1,46.3,60.0,0.1,0.0,0.0,0.04,0.04,0.0,0.78,2.43,0.0,1.75,1.55,4.27,24.17,493.88,241.75,0.58,-0.02,0.0,0.97,1.36,47.09,0.97,16.02,38.16
Guillermo Allison,Queretaro,GK,,MEX,32.0,19.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,50.0,58.2,100.0,97.1,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.71,17.53,721.92,628.54,0.0,0.0,0.0,0.0,0.0,32.53,0.0,14.85,66.31
Jaime Gómez Valencia,Queretaro,DF,MF,MEX,30.0,17.6,0.0,0.06,0.03,0.06,59.1,1.71,0.17,43.9,76.8,88.7,81.3,33.8,48.4,0.11,0.0,0.0,0.07,0.09,0.06,2.44,3.24,0.0,0.74,1.48,6.53,26.7,423.07,163.18,0.51,0.0,0.06,0.23,0.97,45.62,1.76,23.07,46.87
Jonathan Perlaza,Queretaro,DF,,ECU,25.0,3.1,0.0,0.0,0.0,0.03,66.7,1.61,0.0,100.0,59.1,80.0,63.8,12.5,66.7,0.0,0.0,0.0,0.02,0.04,0.0,1.94,1.94,0.0,1.94,3.23,8.39,25.16,411.94,218.06,0.65,-0.03,0.0,0.0,5.16,54.19,1.94,23.23,35.48
Jordan Sierra,Queretaro,MF,FW,ECU,26.0,14.9,0.0,0.13,0.15,0.12,40.9,2.75,0.4,32.1,73.9,82.2,76.5,59.0,64.3,0.27,0.0,0.0,0.11,0.28,0.13,3.15,4.36,0.0,1.14,1.54,7.85,24.9,446.91,165.03,1.14,0.01,0.34,0.34,1.14,43.62,1.88,20.47,43.49
José Zúñiga,Queretaro,FW,,COL,29.0,9.5,0.63,0.11,0.46,0.11,33.3,2.1,0.42,47.8,59.5,68.8,68.6,77.8,38.9,1.05,0.27,0.6,0.2,0.57,0.74,5.16,0.95,0.0,0.21,0.11,2.42,10.53,160.53,18.63,0.95,-0.01,0.0,0.11,0.21,28.21,1.89,14.42,37.58
