Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
Hugo González Durán,GK,MEX,32.0,Mazatlan,28.3,67.1,GK,29.0,29.0,1.7,143.0,94.0,9.0,20.7,66.7,48.5,0.33,0.05,41.1,33.9,6.4,0.67,13.0,0.32,1.71,3.32,5.05,0.34,,0.0,0.0,0.0,0.0,0.0,0.14,0.0,100.0,73.5,98.3,98.1,53.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,27.63,840.71,655.97,0.07,-0.0,0.0,0.14,0.0,40.07,0.07,20.46,65.02
Ricardo Gutiérrez,GK,MEX,26.0,Mazatlan,5.7,71.0,GK,7.0,5.0,1.93,31.0,21.0,1.0,20.0,0.0,9.4,0.24,-0.11,49.0,30.3,2.3,0.7,13.5,0.18,1.65,3.68,5.44,0.35,,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,83.7,100.0,98.9,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,1.23,28.77,756.32,530.7,0.0,0.0,0.0,0.0,0.0,37.02,0.0,20.18,74.74
Ezequiel Unsain,GK,ARG,28.0,Necaxa,24.5,66.7,GK,25.0,24.0,1.67,114.0,75.0,9.0,25.0,0.0,39.3,0.32,0.01,34.3,45.9,5.8,0.29,11.0,0.37,1.6,3.06,4.65,0.36,,0.0,0.04,0.0,0.03,100.0,0.24,0.04,100.0,55.1,100.0,98.6,39.9,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.0,0.04,0.04,0.0,0.04,0.9,15.55,591.27,470.78,0.08,0.01,0.04,0.04,0.0,30.12,0.0,13.67,58.69
Raúl Gudiño,GK,MEX,27.0,Necaxa,9.5,65.9,GK,10.0,10.0,1.58,41.0,30.0,1.0,10.0,0.0,13.5,0.31,0.26,34.8,40.7,2.4,0.11,8.7,0.11,1.42,3.16,4.32,0.37,,0.0,0.0,0.0,0.0,0.0,0.21,0.0,100.0,60.9,96.2,96.2,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,18.84,646.63,526.53,0.0,0.0,0.0,0.11,0.0,33.37,0.0,14.11,48.42
Andrés Gudiño,GK,MEX,26.0,Cruz Azul,13.5,73.9,GK,14.0,13.0,1.62,69.0,48.0,4.0,15.4,0.0,18.8,0.23,-0.16,32.0,40.3,6.4,0.59,11.8,0.3,1.39,3.56,5.11,0.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,60.8,100.0,99.1,36.1,0.0,0.07,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.81,16.89,527.33,424.96,0.0,0.0,0.0,0.0,0.0,30.15,0.0,14.37,51.26
Kevin Mier,GK,COL,23.0,Cruz Azul,17.0,70.5,GK,17.0,17.0,0.82,44.0,30.0,10.0,47.1,0.0,13.7,0.29,-0.02,40.2,26.0,5.6,2.0,17.4,0.59,0.81,1.76,2.59,0.32,,0.0,0.0,0.0,0.0,66.7,0.35,0.0,50.0,86.2,99.4,98.8,55.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.12,3.12,36.47,824.12,524.35,0.0,0.0,0.0,0.06,0.0,44.06,0.06,26.53,61.41
Sebastián Jurado,GK,MEX,25.0,Cruz Azul,3.4,50.0,GK,4.0,4.0,2.05,12.0,5.0,1.0,0.0,0.0,6.2,0.44,-0.25,25.0,33.1,4.9,0.88,16.1,0.29,1.82,1.47,3.53,0.58,,0.0,0.0,0.0,0.0,66.7,0.08,0.0,100.0,73.6,100.0,97.3,37.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.46,20.85,513.54,339.08,0.0,0.0,0.0,0.0,0.0,31.0,0.08,14.46,34.38
Sebastián Jurado,GK,MEX,25.0,Cruz Azul,3.4,50.0,GK,4.0,4.0,2.05,12.0,5.0,1.0,0.0,0.0,6.2,0.44,-0.25,25.0,33.1,4.9,0.88,16.1,0.29,1.82,1.47,3.53,0.58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.7,100.0,94.9,34.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,23.24,545.29,367.35,0.0,0.0,0.0,0.0,0.0,35.59,0.29,17.35,32.06
