Player,Position,Nation,Age,Team,Conference,90s Played,Save %,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Zac MacMath,GK,USA,32.0,Real Salt Lake,W,23.0,72.7,23.0,23.0,1.22,99.0,72.0,10.0,26.1,0.0,25.5,0.26,-0.07,40.4,32.3,7.9,1.39,15.5,0.43,1.11,3.13,4.3,0.28,,0.0,0.0,0.0,0.02,0.0,0.43,0.0,100.0,78.9,98.6,98.3,53.0,100.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.17,0.3,0.09,0.0,1.78,32.65,854.09,617.65,0.22,-0.02,0.0,0.04,0.0,43.65,0.04,26.83,107.65
Andrew Thomas,GK,RUS,25.0,Seattle Sounders FC,W,6.6,75.9,7.0,5.0,1.21,29.0,20.0,2.0,40.0,50.0,7.8,0.21,-0.03,30.1,40.2,12.5,0.46,11.1,0.3,1.18,3.03,4.39,0.28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,61.0,100.0,100.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,14.24,408.94,306.52,0.0,0.0,0.0,0.0,0.0,25.0,0.0,12.42,57.42
Stefan Frei,GK,SUI,37.0,Seattle Sounders FC,W,27.4,75.0,29.0,29.0,0.99,96.0,69.0,14.0,37.9,0.0,26.7,0.27,-0.01,34.4,35.2,7.2,0.4,10.2,0.51,0.97,2.52,3.5,0.28,,0.0,0.0,0.0,0.0,0.0,0.15,0.0,100.0,72.7,98.8,99.3,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.0,0.0,0.77,21.13,610.18,455.88,0.0,0.0,0.0,0.0,0.0,30.47,0.0,15.55,43.5
Steve Clark,GK,USA,37.0,Houston Dynamo,W,30.8,76.4,31.0,31.0,1.1,127.0,94.0,14.0,25.8,0.0,39.9,0.3,0.22,37.7,25.8,4.5,1.1,14.6,0.45,1.3,3.05,4.12,0.27,,0.0,0.0,0.0,0.0,100.0,0.13,0.06,85.7,83.8,99.2,97.0,56.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1.72,24.38,538.6,353.64,0.0,0.0,0.0,0.03,0.0,30.91,0.03,19.51,59.9
Clint Irwin,GK,USA,34.0,Minnesota United,W,5.0,66.7,5.0,5.0,2.4,33.0,21.0,0.0,0.0,0.0,11.5,0.32,-0.1,37.0,31.2,9.1,1.6,17.4,0.0,2.3,4.2,6.6,0.36,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,79.1,100.0,98.2,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,23.4,552.0,417.2,0.0,0.0,0.0,0.2,0.0,33.0,0.0,16.6,57.4
Dayne St. Clair,GK,CAN,26.0,Minnesota United,W,26.0,69.7,26.0,26.0,1.19,99.0,68.0,15.0,26.9,50.0,32.1,0.31,0.08,24.9,39.1,1.8,1.54,16.5,0.58,1.23,2.62,3.81,0.31,,0.0,0.0,0.0,0.0,50.0,0.27,0.0,83.3,56.0,100.0,98.1,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.08,1.58,18.0,538.54,411.27,0.0,0.0,0.0,0.08,0.0,34.42,0.0,18.42,62.15
Zack Steffen,GK,USA,28.0,Colorado Rapids,W,33.0,65.2,33.0,33.0,1.73,158.0,103.0,15.0,18.2,0.0,45.9,0.29,-0.27,33.3,34.8,3.7,2.27,18.7,0.45,1.39,3.12,4.79,0.36,,0.0,0.0,0.0,0.0,75.0,0.27,0.0,100.0,69.5,100.0,97.6,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,2.33,22.33,644.48,474.0,0.03,0.0,0.0,0.03,0.0,35.0,0.0,18.33,66.97
Yohei Takaoka,GK,JPN,27.0,Vancouver Whitecaps FC,W,33.0,68.2,33.0,33.0,1.42,132.0,85.0,13.0,21.2,16.7,48.7,0.33,0.08,35.6,34.4,4.7,0.55,12.2,0.39,1.48,2.58,4.0,0.36,,0.0,0.0,0.0,0.0,0.0,0.18,0.03,75.0,73.4,100.0,99.4,47.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.0,0.0,0.88,21.76,623.88,418.61,0.03,-0.0,0.0,0.09,0.0,31.36,0.06,17.97,41.58
James Pantemis,GK,CAN,26.0,Portland Timbers,W,14.5,69.0,15.0,14.0,1.25,58.0,40.0,7.0,35.7,100.0,20.1,0.33,0.21,34.5,35.6,3.8,1.11,12.6,0.48,1.39,2.76,4.0,0.31,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,100.0,70.2,98.0,98.2,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,1.72,26.48,750.07,590.83,0.0,0.0,0.0,0.07,0.0,40.9,0.0,22.41,71.31
Maxime Crépeau,GK,CAN,29.0,Portland Timbers,W,19.5,59.1,20.0,20.0,1.95,88.0,51.0,5.0,5.0,0.0,33.4,0.36,-0.18,44.8,33.0,10.2,1.69,15.5,0.26,1.71,2.62,4.51,0.43,,0.0,0.0,0.0,0.0,50.0,0.15,0.0,66.7,78.7,100.0,98.8,56.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.15,0.05,0.05,1.08,30.77,867.49,623.03,0.05,0.0,0.0,0.05,0.0,41.54,0.1,23.28,75.54
Brad Stuver,GK,USA,32.0,Austin FC,W,34.0,77.5,34.0,34.0,1.41,178.0,129.0,11.0,23.5,11.1,54.6,0.26,0.2,37.6,31.3,7.3,1.18,13.1,0.32,1.61,3.79,5.24,0.27,,0.0,0.0,0.0,0.0,0.0,0.29,0.03,80.0,76.9,99.6,99.3,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.03,0.0,1.41,32.35,845.21,624.74,0.0,0.0,0.0,0.09,0.0,44.97,0.0,23.85,80.03
Jimmy Maurer,GK,USA,35.0,FC Dallas,W,4.0,81.0,4.0,4.0,1.0,21.0,17.0,1.0,50.0,0.0,6.6,0.32,0.66,51.2,30.5,0.0,0.75,11.7,0.25,1.65,4.25,5.25,0.19,,0.0,0.0,0.0,0.0,50.0,0.25,0.0,75.0,82.1,100.0,98.7,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2.0,33.25,882.75,671.0,0.25,0.0,0.0,0.0,0.0,44.0,0.0,27.0,77.25
Maarten Paes,GK,IDN,25.0,FC Dallas,W,30.0,72.4,30.0,30.0,1.73,170.0,117.0,10.0,16.7,37.5,49.2,0.25,-0.03,38.8,29.1,3.1,1.3,16.0,0.33,1.64,3.9,5.67,0.31,,0.0,0.0,0.0,0.0,0.0,0.17,0.03,66.7,78.5,100.0,96.5,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.2,0.0,0.0,1.87,26.67,638.0,446.97,0.0,0.0,0.0,0.1,0.0,37.0,0.0,20.53,53.03
Roman Bürki,GK,SUI,33.0,St Louis City,W,31.3,67.1,32.0,32.0,1.75,152.0,100.0,8.0,21.9,16.7,58.6,0.36,0.24,39.6,36.9,3.0,1.31,15.6,0.26,1.87,3.19,4.86,0.36,,0.0,0.0,0.0,0.0,0.0,0.32,0.03,100.0,71.6,99.1,97.6,49.6,100.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.38,0.16,0.0,0.0,1.47,25.97,778.08,583.55,0.06,0.0,0.0,0.06,0.03,38.85,0.03,22.24,64.38
John Pulskamp,GK,USA,22.0,Sporting Kansas City,W,6.0,43.5,6.0,6.0,2.17,23.0,11.0,1.0,0.0,0.0,8.9,0.41,-0.52,26.6,38.1,1.5,0.83,16.2,0.17,1.48,1.83,3.83,0.57,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.8,100.0,86.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,15.0,426.83,334.67,0.0,0.0,0.0,0.0,0.0,26.33,0.0,12.33,30.0
Tim Melia,GK,USA,37.0,Sporting Kansas City,W,28.0,59.2,28.0,28.0,1.89,125.0,72.0,7.0,10.7,60.0,49.2,0.38,-0.03,27.2,35.2,4.6,0.75,13.2,0.25,1.76,2.57,4.46,0.42,,0.0,0.0,0.0,0.0,0.0,0.14,0.0,100.0,65.6,98.0,97.4,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.04,0.0,1.61,20.39,564.43,404.04,0.07,0.0,0.0,0.04,0.0,32.96,0.0,16.25,47.29
Daniel,GK,BRA,29.0,San Jose Earthquakes,W,12.0,66.7,12.0,12.0,2.0,72.0,47.0,2.0,8.3,100.0,21.2,0.3,-0.23,38.9,32.8,3.7,1.0,12.4,0.17,1.77,3.92,6.0,0.33,,0.0,0.0,0.0,0.01,0.0,0.17,0.0,100.0,79.3,100.0,98.1,53.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.42,26.25,670.75,456.17,0.17,-0.01,0.08,0.0,0.0,35.92,0.0,17.83,50.42
William Yarbrough,GK,USA,34.0,San Jose Earthquakes,W,19.0,62.0,19.0,19.0,2.37,100.0,56.0,4.0,5.3,0.0,36.1,0.3,-0.42,47.2,32.6,6.9,0.58,11.5,0.21,1.9,2.95,5.26,0.45,,0.0,0.0,0.0,0.0,0.0,0.47,0.0,87.5,76.5,100.0,97.2,55.4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.74,22.47,674.89,498.42,0.0,0.0,0.0,0.0,0.0,31.89,0.11,16.16,57.89
